term,tier,au_vol_mo,cpc_aud,competition,source,notes
ibkr tax report australia,Tier1,20,4.50,low,"estimate — analyst judgment (no Keyword Planner access this session); narrow brand+modifier combo, thin dedicated 3rd-party content found in WebSearch sweep","IBKR's own support pages (interactivebrokers.com.au/en/support/tax-*.php) dominate the SERP; a dedicated 3rd-party AU guide could plausibly rank."
interactive brokers tax statement australia,Tier1,10,4.00,low,"estimate — analyst judgment, same basis as above","Near-duplicate phrasing of the row above; likely splits the same underlying search cluster."
interactive brokers ato,Tier1,20,3.50,low,"estimate — analyst judgment","Mildly ambiguous (could include company/GST tax queries, not just personal derivatives) — kept at full Tier1 weight per brief's tiering, flagged in notes only."
ibkr capital gains australia,Tier1,10,4.50,low,"estimate — analyst judgment","No dedicated content found targeting this exact phrase."
sharesight options,Tier1,30,3.00,low-med,"estimate — analyst judgment, corroborated qualitatively: Capitally/AllInvestView blog posts (2026, found via WebSearch) explicitly cite 'Sharesight does not track stock options' as a differentiator","Direct wedge-validation query — searchers checking whether Sharesight covers options before buying/switching."
sharesight alternative,Tier1,90,6.50,high,"estimate — analyst judgment, corroborated by 7+ dedicated live comparison pages found (G2, AlternativeTo, SourceForge, Slashdot, AllInvestView, Capitally, FindMyMoat — all 2025/2026)","Highest-volume Tier1 term. Heavy competitor content investment = real commercial demand, but intent is broader 'portfolio tracker switching' not solely tax — several of the found alternatives already market options support as their edge, so this term is close to our exact wedge."
options tax calculator australia,Tier1,20,5.00,low,"estimate — analyst judgment","No dedicated AU options-tax-calculator product found in the sweep — functional and content gap."
tastytrade tax australia,Tier1,10,3.50,low,"estimate — analyst judgment","Per brief.md, Tastytrade AU account openings reportedly suspended (~26 Jun 2026, single-sourced) — treat this term as declining, not evergreen; do not size forward growth on it."
tiger brokers tax statement australia,Tier1,unknown,unknown,low,"no signal found in WebSearch sweep","Cannot estimate — too niche for any surfaced proxy data; do not infer a number."
moomoo tax report australia,Tier1,unknown,unknown,low,"no signal found in WebSearch sweep","Cannot estimate — same basis as above."
options trading journal,Tier1,90,2.50,med,"estimate — analyst judgment; global term with known real volume, AU share estimated down from global","FLAGGED AMBIGUOUS: primarily performance-journaling/analytics intent (trade logs, win-rate stats), not tax-motivated. Down-weighted to 25% of face value in the weighted-cluster total."
trading tax software australia,Tier1,40,6.00,med,"estimate — analyst judgment","Closest direct-category term to the product itself; treat as a bellwether even at modest volume."
