date_of_thread,community,url,verbatim_quote,pain_type,engagement
2021-10-31,Aussie Stock Forums,https://www.aussiestockforums.com/threads/interactive-brokers-tax-question.36604/,"Last year I sent over every report I could find from IB to my accountant and the accountants fees nearly tripled. Apparently it was because they had to go through every individual international trade for the year and convert them to AUD and manually enter them into their system which was obviously time consuming.",$,"multi-reply thread (exact reply count not retrievable via WebSearch snippet; direct fetch returned HTTP 403)"
undated,Aussie Stock Forums,https://www.aussiestockforums.com/threads/tax-implications-of-trading-us-options-in-australia.20235/,"One poster: ""for your particular situation, my understanding is that there is no taxation""; countered by another poster: ""theres is tax to pay just like on any gain made"" — i.e. posters give the OP directly conflicting tax answers on the same thread.",confusion,"multi-poster thread with conflicting answers; exact count unknown (403-blocked direct fetch)"
undated,Aussie Stock Forums,https://www.aussiestockforums.com/threads/brokerage-fees-tax-deductible.11709/,"[PARAPHRASE — direct fetch 403-blocked, WebSearch summary only, not literal quoted text] One participant reports receiving conflicting advice from the ATO on written options: some ATO representatives said it was a capital gain that had to be treated as such, others said it was business income; thread ends with a recommendation to write to the ATO for a private ruling for certainty.",confusion,"multi-reply thread; exact count unknown"
2014-06,Aussie Stock Forums,https://www.aussiestockforums.com/threads/interactive-brokers-aussie-tax-reconciliation-query.28616/,"[PARAPHRASE — direct fetch 403-blocked] Poster advice: focus the accountant on 'Realised Net Profit'/'Realised Net Loss' from the monthly activity statement and use official ATO monthly USD/AUD exchange rates; broader thread theme (per a related same-forum thread on IBKR/AUD) is that 'not keeping your base currency as AUD... makes taxation a nightmare.'",confusion,"multi-poster thread; exact count unknown"
undated,Aussie Stock Forums,https://www.aussiestockforums.com/threads/spreadsheet-for-tracking-trades.35640/,"[PARAPHRASE — direct fetch 403-blocked] Multiple posters describe building their own custom Excel spreadsheets to manually track options trades and multiple purchase parcels for tax reporting, because no existing tool does this for them.",hours,"multi-reply thread; exact count unknown"
2021-08-06,Aussie Stock Forums,https://www.aussiestockforums.com/threads/australian-tax-resident-trading-in-nse-options-trading.36412/,"[PARAPHRASE — direct fetch 403-blocked] AU tax resident asks which broker even lets them trade NSE (India) options as an Australian resident and what the tax/compliance implications are — reflecting genuine uncertainty about which broker/product combination is usable at all, not just how to file it.",confusion,"engagement level unknown (403-blocked)"
2023-12-15,Aussie Stock Forums,https://www.aussiestockforums.com/threads/interactive-brokers-and-australian-tax.37952/,"[PARAPHRASE — direct fetch 403-blocked; thin evidence] A ~53-year-old semi-retiree Australian with an approx. AUD 700k IBKR account asks general Australian-tax questions about the account; thread is mostly account-mechanics, only tangential options-specific tax pain.",confusion,"thin — flagged as marginal evidence, included for transparency not strength"
undated,Aussie Stock Forums,https://www.aussiestockforums.com/threads/options-trading-in-australia.33829/,"[PARAPHRASE — direct fetch 403-blocked; thin evidence] Thread mixes discussion of ASX options liquidity/CommSec access with a cross-reference to a related thread about filing US tax paperwork (W8-BEN) after starting to trade US options via OptionsXpress Australia.",confusion,"thin/unclear — flagged as marginal evidence"
2024-05-16,Whirlpool,https://forums.whirlpool.net.au/archive/96yzlvpp,"[PARAPHRASE, carried forward from prior research pass + reconfirmed this session] Thread title 'Trading in US Market - Tax'. Multi-poster discussion establishing that 'purchase price is based on exchange rate of the day' and that proceeds/dividends must each be converted at the RBA rate on their own transaction date — i.e. a manual, per-trade FX lookup burden for any AU investor holding US positions.",confusion,"multi-poster thread, 16-17 May 2024"
undated,Whirlpool,https://forums.whirlpool.net.au/thread/3qr1jp72,"[PARAPHRASE — exact post date not retrievable via WebSearch snippet] Poster describes 'the additional task of dealing with FACTA and filling in American tax forms', noting it 'takes considerable research for every element before getting it done' when opening/using an Interactive Brokers account as an Australian.",hours,"long-running multi-page thread (result surfaced from page 5 of the thread)"
undated,Whirlpool,https://forums.whirlpool.net.au/thread/9yn4v4y3,"[PARAPHRASE — exact post date not retrievable; NOTE: adjacent signal, about Sharesight's general CGT-calculation accuracy, not options-specific] Recurring annual complaint pattern described as 'a lot of comments every financial year on this thread expressing how inaccurate Sharesight's calculations are'; one comparison cited a $5,000 swing between Sharesight's 'Minimise CGT' and 'Maximise Gain' report settings on the same portfolio.",confusion,"recurring multi-year thread (comments recur 'every financial year')"
undated,Whirlpool,https://forums.whirlpool.net.au/archive/2663114,"[PARAPHRASE — exact post date not retrievable; NOTE: marginal, trader is not confirmed AU tax-resident-specific but is a genuine options-income trader asking a tax question] Poster describes trading 'long-dated, deep OTM' eurodollar, gold and oil options for income and asks the forum how to legally reduce the resulting tax bill.",confusion,"engagement level unknown"
2021-07-06,Sharesight Community Forum,https://community.sharesight.com/t/short-and-long-call-put-options/396,"Users must ""manually input every options trade and multiplying each contract by 100x""; entering options is ""very convoluted and time-consuming""; no support for short positions or spreads without workarounds.",hours,"21 replies over 14 months (thread opened 6 Jul 2021, active through Sep 2022)"
2021-07-06,Sharesight Community Forum,https://community.sharesight.com/t/short-and-long-call-put-options/396,"""[Lack of options support] is the only thing stopping me from signing up to premium accounts"" — WTP-adjacent pain: a user delaying/withholding a paid upgrade specifically because the options-tracking gap leaves them unable to trust the tool for their real portfolio.",confusion,"1 quoted user within the same 21-reply thread"
2021-10-20,Sharesight Community Forum,https://community.sharesight.com/t/please-add-derivatives-support/722,"""Please add derivatives support"" — OP relies on ""alternate platforms...that are mainly US based"" to track CFDs/futures/options because Sharesight can't; explicit switching behaviour away from the incumbent tool.",confusion,"2 replies (thin engagement, but a clear switching-pain quote)"
